k,task,size_class,iso_key,n_topo_in_size,n_topo_with_motif_in_size,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_top_10,presence_designs_top_10,n_topo_top_10,presence_rate_top_25,presence_designs_top_25,n_topo_top_25,presence_rate_bot_25,presence_designs_bot_25,n_topo_bot_25,presence_rate_bot_10,presence_designs_bot_10,n_topo_bot_10,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05,log_odds_top10_vs_bot10,log_odds_top25_vs_bot25
4,toxicity,4,0000000110001010,27,6,4,2,2,False,0.44920151602283437,0.36250557510282966,7315,6,0.3049705139005897,30770,6,0.28405909142718383,57320,6,0.26212168066160785,132232,6,0.2012567645251452,101528,6,0.17603128035363846,35521,6,0.15752542171301712,15894,6,0.1296461492714838,2616,6,1.4834238268832596,0.9530850904161544,0.6903592625288905,0.38119941201875573
4,toxicity,4,0000000110011000,27,15,4,2,2,False,0.005105794081063338,0.43976411120471776,8874,15,0.46857624262847514,47277,15,0.4856607644618884,98001,15,0.5091323929367175,256841,15,0.5815687751501576,293384,15,0.6009078835213194,121256,15,0.613758449126841,61927,15,0.640003964714045,12914,15,-0.5413509705716326,-0.389387170300133,-0.3071949105253488,-0.1919089537322333
4,toxicity,4,0000000111001000,27,9,4,2,2,False,0.03788256041375961,0.24163734575548837,4876,9,0.28318548986570197,28572,9,0.29479803160727297,59487,9,0.31146475098519627,157124,9,0.34136023945923444,172206,9,0.3454268836600789,69703,9,0.34625066899244783,34936,9,0.3551888195063931,7167,9,-0.5557427252017835,-0.29006951350273924,-0.22865347691104734,-0.13222612753450508
4,toxicity,4,0000000111011000,27,1,5,2,3,False,0.1667767430529857,0.028247187670350365,570,1,0.029079736359581745,2934,1,0.03031384267725198,6117,1,0.03127056622025579,15775,1,0.042309750827601245,21344,1,0.04820901143774654,9728,1,0.05046680806358897,5092,1,0.06407969075230449,1293,1,-1.1817599474026572,-0.7953206519419423,-0.6693261022462719,-0.43618484676944985
4,toxicity,4,0000001110001000,27,9,4,2,2,False,-0.2077333747099935,0.31037216908667425,6263,9,0.32880717577679763,33175,9,0.3322183072417228,67038,9,0.33346614651474427,168223,9,0.3346204927944179,168806,9,0.33224968779114716,67044,9,0.3316121231342544,33459,9,0.33883437407077016,6837,9,-0.12658104302618992,-0.012254965843850421,-0.000136267099113829,-0.004985495031480948
4,toxicity,4,0000001110001010,27,2,5,2,2,False,0.2335216853172009,0.09138212993706328,1844,2,0.08840874176123693,8920,2,0.08744777961137624,17646,2,0.0873316047796887,44056,2,0.06316728447677761,31866,2,0.04480444823279878,9041,2,0.029415845705564034,2968,2,0.0056001585885618,113,2,4.028372481369644,1.5875955144728895,0.9647797814320793,0.46732629799475855
4,toxicity,4,0000000101001000,27,27,3,1,1,True,-0.0001784589410010484,1.0,20179,27,1.0,100895,27,1.0,201789,27,1.0,504468,27,1.0,504470,27,1.0,201788,27,1.0,100898,27,1.0,20178,27,0.0,0.0,0.0,0.0
4,toxicity,5,0000000000001110,43,4,3,1,3,False,-0.11261877453526246,0.03962620993019327,14918,4,0.053581560208333774,100860,4,0.06063590698198252,228278,4,0.07116888327232151,669830,4,0.1089560480250357,1025477,4,0.12178234153657112,458478,4,0.13318833896806795,250710,4,0.17046601570385797,64175,4,-2.1049572589267,-1.3136592798823732,-1.0060606795955602,-0.6144277774296981
4,toxicity,5,0000000000011100,43,23,3,1,2,False,0.28988989270441146,0.5733740981969251,215857,23,0.5706032414559564,1074083,23,0.5685404516070596,2140403,23,0.5613567721841366,5283399,23,0.5071028080478622,4772771,23,0.47572696390421315,1790985,23,0.4483332731256096,843930,23,0.39804179903736836,149850,21,0.5265567946858318,0.3479163693315635,0.2571292017419822,0.14663970876052565
4,toxicity,5,0000000001001010,43,39,3,1,2,False,-0.23472295749656183,0.8391337377944473,315907,39,0.8708597274491012,1639275,39,0.8811591685253642,3317329,39,0.891993147353365,8395295,39,0.9138754043975031,8601250,39,0.919384190060756,3461236,39,0.9232356834887047,1737873,39,0.9306395231467216,350356,37,-0.1493216979460501,-0.08425862850765395,-0.06126521299744068,-0.034964858244294926
4,toxicity,5,0000000001001100,43,37,3,2,2,False,-0.272977135556122,0.8639379708235494,325245,37,0.8642680161754049,1626867,37,0.8640001827486836,3252730,37,0.8624190089119681,8116948,37,0.8591168295342005,8085871,37,0.8583440047408408,3231436,37,0.8580062814364005,1615087,37,0.863552811925582,325100,35,0.0006433224961988837,0.01049056294076873,0.00947565458347608,0.005534643600068396
4,toxicity,5,0000000001001110,43,5,4,2,3,False,0.3720955496131312,0.1306830859462159,49198,5,0.13045563982311603,245565,5,0.12926308452684426,486641,5,0.12617716114535757,1187559,5,0.10757916543639018,1012518,5,0.098529430905193,370937,5,0.09290777805874716,174887,5,0.08680153426054804,32678,5,0.5902799796810138,0.4896880293037797,0.39168369383112794,0.23005209500138799
4,toxicity,5,0000000001011100,43,10,4,2,2,False,0.0914131027923897,0.18994708713622407,71509,10,0.20731378203153056,390240,10,0.2140236771107008,805742,10,0.22240576176513024,2093247,10,0.23777749751616076,2237924,10,0.24007386446794501,903814,10,0.23877214493203255,449458,10,0.23293082014938854,87691,10,-0.29430395354990313,-0.20381851347360752,-0.16570794518527288,-0.09641802581738693
4,toxicity,5,0000000011001100,43,1,4,2,2,False,-0.05074699517750572,0.005928790760436478,2232,1,0.011081278647487945,20859,1,0.01355527735964277,51032,1,0.017365789763912214,163444,1,0.027269372697647568,256655,1,0.029202070903833022,109938,1,0.031033717033615033,58417,1,0.037647290075119265,14173,1,-2.666736233670427,-1.4857121438213106,-1.107216050372532,-0.6510334896928501
4,toxicity,5,0000000100011000,43,43,3,2,1,False,-0.09204536125458264,1.0,376468,43,1.0,1882364,43,1.0,3764733,43,1.0,9411838,43,1.0,9411841,43,1.0,3764733,43,1.0,1882372,43,1.0,376468,41,0.0,0.0,0.0,0.0
4,toxicity,5,0000000101011000,43,26,4,2,2,False,0.2160994833664204,0.6667233337229194,251000,26,0.6368529147391259,1198789,26,0.6280761477639981,2364539,26,0.6197015928238458,5832531,26,0.5917250408288878,5569222,26,0.5732900580200508,2158284,26,0.5561488377430178,1046879,26,0.5258029898955555,197948,24,0.342565873239754,0.1954891795315156,0.13167422155852776,0.0666467276274846
4,toxicity,5,0000000110001000,43,43,3,2,1,False,-0.12443893483306447,1.0,376468,43,1.0,1882364,43,1.0,3764733,43,1.0,9411838,43,1.0,9411841,43,1.0,3764733,43,1.0,1882372,43,1.0,376468,41,0.0,0.0,0.0,0.0
4,toxicity,5,0000000110001010,43,15,4,2,2,False,0.4531515661975992,0.4460166601145383,167911,15,0.41754889065026746,785979,15,0.4061294652236958,1528969,15,0.38841998767934593,3655746,15,0.3143366956581608,2958487,15,0.2827804787218642,1064593,15,0.2619349416587157,493059,15,0.21741024469543227,81848,13,1.0366776764033854,0.6727366066263092,0.5222571709290366,0.3053067400674193
4,toxicity,5,0000000110011000,43,25,4,2,2,False,0.003461055969524773,0.4758757716459301,179152,25,0.5170524935666003,973281,25,0.5314084690733712,2000611,25,0.5518017840936064,5193469,25,0.5960122998252946,5609573,25,0.5998433355034739,2258250,25,0.5993990560845571,1128292,25,0.5809763379623235,218719,24,-0.28789440249983433,-0.21320605487508923,-0.17476453275859083,-0.11119198245580855
4,toxicity,5,0000000111001000,43,23,4,2,2,False,0.1695693762857866,0.49603950402159014,186743,23,0.5116672439549418,963144,23,0.5163805773211539,1944035,23,0.5248175754831309,4939498,23,0.5376302043351561,5060090,23,0.5327007253900874,2005476,23,0.5263136085747132,990718,23,0.5121603961027232,192812,22,-0.04614067799226587,-0.040716820729272955,-0.044890508029370405,-0.034798156911609514
4,toxicity,5,0000000111011000,43,1,5,2,3,False,0.09081268696900417,0.024302198327613503,9149,1,0.020283005837340707,38180,1,0.01941598514423201,73096,1,0.01956865385910807,184177,1,0.026940106616760738,253556,1,0.03156478825988457,118833,1,0.03357784752429382,63206,1,0.035416024735170054,13333,1,-0.543315463148384,-0.7272382824736484,-0.70107116362262,-0.4612110449325773
4,toxicity,5,0000001110001000,43,16,4,2,2,False,-0.13385426490429167,0.32451629354951816,122170,16,0.34458585055812796,648636,16,0.3517011697775114,1324061,16,0.35929209576280424,3381599,16,0.37835456421331387,3561013,16,0.3805531494530953,1432681,16,0.383407211751981,721715,16,0.3988997736859441,150173,16,-0.29773538899624985,-0.1540140112431171,-0.11374782644392126,-0.07458165177456176
4,toxicity,5,0000001110001010,43,0,5,2,2,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
4,toxicity,5,0000000101001000,43,43,3,1,1,True,-0.2872145550685192,1.0,376468,43,1.0,1882364,43,1.0,3764733,43,1.0,9411838,43,1.0,9411841,43,1.0,3764733,43,1.0,1882372,43,1.0,376468,41,0.0,0.0,0.0,0.0
4,toxicity,6,0000000000001110,63,15,3,1,3,False,-0.31934338537911244,0.1187623438145343,653881,15,0.15395467722475056,4238216,15,0.16970266375063708,9343484,15,0.1924969552090989,26496228,15,0.27854489129380794,38340289,15,0.31119887597748785,17133979,15,0.33962804370534955,9349616,15,0.4009268776164468,2207422,15,-1.7552616663431257,-1.141449891874155,-0.8748276390184123,-0.5330742298293518
4,toxicity,6,0000000000011100,63,30,3,1,2,False,0.2876149329261408,0.4794322126835839,2639655,30,0.4800066548040184,13214096,30,0.4815246817404398,26511771,30,0.48314249447055513,66502110,30,0.470437917145347,64753389,30,0.4633788545644217,25512700,30,0.457195464547969,12586128,30,0.4407143961174014,2426484,30,0.12148282220649106,0.07024331561356777,0.05541753788297501,0.038444403996343926
4,toxicity,6,0000000001001010,63,55,3,1,2,False,-0.3922253142460109,0.7233917578463706,3982846,55,0.7809244692457786,21498058,55,0.8037547480184022,44253104,55,0.8330779661174564,114668950,55,0.9039693938865989,124426794,55,0.9214128518936368,50731123,55,0.9311481748311334,25633566,55,0.9444380168756676,5199884,55,-0.38467895580533973,-0.2538277458762301,-0.19709236594090132,-0.11782240658662615
4,toxicity,6,0000000001001100,63,55,3,2,2,False,-0.27696267362567545,0.7953483185168206,4379024,55,0.8240691038917708,22685786,55,0.8357678976498388,46015683,55,0.8508883437180246,117120458,55,0.8900317853360065,122508353,55,0.9011589457018141,49615984,55,0.9086027393597883,25012913,55,0.9218352946903056,5075438,55,-0.2129221864759773,-0.14088433256885674,-0.10867924495616593,-0.06488703008134628
4,toxicity,6,0000000001001110,63,16,4,2,3,False,-0.14507398156821988,0.14373639841955582,791383,16,0.1803143850018444,4963872,16,0.19639402245295318,10813056,16,0.2170162473122873,29871184,16,0.2848807808154546,39212392,16,0.3054166978761949,16815624,16,0.3171742934093434,8731487,16,0.33476642891120034,1843156,16,-1.2197294163770187,-0.8147613513689749,-0.6370279202191506,-0.39255523835332723
