k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
5,circuit,0000000000000110100011000,1,5,2,2,False,-0.1507141145176263,14,6.672606066072556e-05,941,7,0.0024153671999734513,170313,14,0.2284589731352917,16109156,14,0.2225209094873586,3138090,14,-11.703402953580113,-6.563548764162312
5,circuit,0000000000000110100111000,1,6,2,2,False,0.0526081278450775,1,9.721724672248114e-05,1371,1,0.0004547010690055885,32062,1,0.0,0,0,0.0,0,0,,
5,circuit,0000000000000111100011000,1,6,2,2,False,-0.00658431898669477,1,7.090973502733854e-07,10,1,0.0002604795251208797,18367,1,0.022635230369690805,1596061,1,0.022574162645497768,318351,1,-14.95832924333811,-6.441256204892659
5,circuit,0000000000010000100010010,1,4,2,2,False,-0.1737025549513913,29,0.01396609777204449,196956,18,0.02087079608567361,1471647,29,0.35287653355092957,24882118,28,0.36682548067888915,5173138,25,-4.715092973054452,-4.079605957304611
5,circuit,0000000000010000100010110,1,5,2,3,False,-0.07994920158910725,2,7.090973502733854e-07,10,1,0.00026116025780481295,18415,2,0.04426077801035675,3120927,2,0.03927686324007531,553900,2,-15.75733648583567,-7.404949629912605
5,circuit,0000000000010000100110000,1,4,2,2,False,-0.18071065498843794,26,0.058093225879557266,819256,15,0.07923444802364865,5587000,26,0.288867442024151,20368693,20,0.3578913593028162,5047145,20,-2.6230798635546875,-1.8662079093716673
5,circuit,0000000000010000100110100,1,5,2,2,False,0.07550757466830633,3,0.0518161543154672,730734,3,0.04730726259518558,3335742,3,0.021181667315702837,1493567,1,0.03502972887689728,494005,1,0.5648221237284009,1.1592455270372404
5,circuit,0000000000010000110010010,1,5,2,2,False,-0.11306336665002573,9,6.169146947378453e-05,870,5,0.0023455211902157157,165388,9,0.10668620142863405,7522684,9,0.09698492105981585,1367725,9,-10.618473731992559,-5.507321248149554
5,circuit,0000000000010000110010100,1,5,2,2,False,-0.07098783408002377,2,0.0,0,0,0.00022547851962197778,15899,2,0.029833724350502563,2103643,2,0.02821977741456272,397968,2,,-7.047810279691351
5,circuit,0000000000010000110110000,1,5,2,3,False,0.1362573332532946,2,0.013606585415455882,191886,2,0.01205184743759454,849803,2,0.002567596446966257,181047,2,0.0010876124361369833,15338,2,3.645068608719633,2.230763940495943
5,circuit,0000000000010001000011000,2,4,2,2,False,-0.046340989954390496,10,0.022836054707144213,322044,7,0.04661942476386376,3287241,10,0.09732700484422217,6862746,9,0.09015256214345735,1271372,8,-1.9810550701165357,-1.0619089548398388
5,circuit,0000000000010001000110100,1,5,2,2,False,-0.1317445409407492,2,0.0,0,0,5.0898950054926615e-05,3589,2,0.02429872857976775,1713358,2,0.05018276966059089,707700,1,,-8.899029215436524
5,circuit,0000000000010001010010100,1,5,2,2,False,0.07577721632814804,1,0.016320584613892238,230160,1,0.031435384428183125,2216580,1,0.0,0,0,0.0,0,0,,
5,circuit,0000000000010001010111000,1,6,2,3,False,0.0959144732337917,1,0.0005162228709990245,7280,1,0.0009668673220798766,68176,1,0.0,0,0,0.0,0,0,,
5,circuit,0000000000010011010011000,1,6,2,2,False,-0.07982646539842488,1,0.0,0,0,8.253883792690802e-06,582,1,0.02400618366321006,1692730,1,0.05018276966059089,707700,1,,-11.506045325051122
