k,task,size_class,parent_iso_key,motif_position,part_idx,n_topo_in_size,n_topo_with_motif_in_size,presence_designs_top_01,presence_designs_top_05,presence_designs_top_10,presence_designs_top_25,presence_designs_bot_01,presence_designs_bot_05,presence_designs_bot_10,presence_designs_bot_25
5,circuit,6,0000000001000011000000010,0,12,63,12,189164,416739,0,1267241,77581,379034,0,1447025
5,circuit,6,0000000001000011000000010,1,14,63,12,68310,265804,0,1285248,46272,291856,0,1259775
5,circuit,6,0000000001000011000000010,2,1,63,12,108195,349319,0,1989587,127236,577410,0,2003279
5,circuit,6,0000000001000011000000010,2,2,63,12,91359,543697,0,2021436,107761,523386,0,1945476
5,circuit,6,0000000001000011000000010,2,3,63,12,64667,195464,0,958363,62288,313140,0,1180359
5,circuit,6,0000000001000011000000010,2,4,63,12,49749,210272,0,1061030,68777,300058,0,1128217
5,circuit,6,0000000001000011000000010,2,5,63,12,61568,206980,0,1034052,63547,299032,0,1133673
5,circuit,6,0000000001000011000000010,2,7,63,12,101810,392473,0,1989681,119218,535421,0,1939829
5,circuit,6,0000000001000011000000010,2,13,63,12,97703,576864,0,1997698,105495,495252,0,1881858
5,circuit,6,0000000001000011000000010,2,17,63,12,47758,201704,0,933569,41652,227382,0,876380
5,circuit,6,0000000001000011000000010,2,18,63,12,45559,182551,0,942570,38542,222821,0,868980
5,circuit,6,0000000001000011000000010,2,19,63,12,50326,260301,0,948722,40730,222516,0,870914
5,circuit,6,0000000001000011000000010,3,1,63,12,99720,451151,0,1937899,101781,494188,0,2093746
5,circuit,6,0000000001000011000000010,3,2,63,12,69195,383286,0,2036553,88808,463431,0,1930673
5,circuit,6,0000000001000011000000010,3,7,63,12,55436,383023,0,2071731,86564,446606,0,1922312
5,circuit,6,0000000001000011000000010,3,13,63,12,54759,386677,0,2002597,97414,466576,0,1988307
5,circuit,6,0000000001000011000000010,3,19,63,12,44367,188734,0,961091,32129,206772,0,882581
5,circuit,6,0000000001000011000000010,4,1,63,12,109052,412245,0,1839557,128546,517800,0,2137608
5,circuit,6,0000000001000011000000010,4,2,63,12,129887,435778,0,1860847,112077,543848,0,2160357
5,circuit,6,0000000001000011000000010,4,4,63,12,42913,217969,0,989920,58096,280938,0,1119798
5,circuit,6,0000000001000011000000010,4,5,63,12,42479,213539,0,977869,58049,283134,0,1115846
5,circuit,6,0000000001000011000000010,4,7,63,12,146407,454430,0,1852316,125943,565914,0,2154445
5,circuit,6,0000000001000011000000010,4,13,63,12,170559,463109,0,1799552,134176,623708,0,2205735
5,circuit,6,0000000001000011000000010,4,17,63,12,58746,192857,0,872446,37297,221740,0,945004
5,circuit,6,0000000001000011000000010,4,18,63,12,63175,197209,0,863655,36202,230116,0,972791
5,circuit,6,0000000001000011000000010,4,19,63,12,54759,192450,0,874377,38052,215911,0,943298
5,circuit,6,0000000001000011000000010,0,1,63,12,0,257660,0,2028563,23380,289426,0,1901720
5,circuit,6,0000000001000011000000010,0,2,63,12,229566,558215,0,2086683,141426,698250,0,2396247
5,circuit,6,0000000001000011000000010,0,3,63,12,102781,363942,0,1098113,58450,289090,0,1114433
5,circuit,6,0000000001000011000000010,0,4,63,12,133573,358216,0,1184386,59711,304312,0,1165152
5,circuit,6,0000000001000011000000010,0,5,63,12,194947,393764,0,1184211,65789,311800,0,1161659
5,circuit,6,0000000001000011000000010,0,7,63,12,107,293990,0,2091236,76591,535608,0,2260626
5,circuit,6,0000000001000011000000010,0,13,63,12,276,405343,0,2018537,166854,723265,0,2722538
5,circuit,6,0000000001000011000000010,0,14,63,12,239498,508270,0,1503472,112090,503398,0,1751545
5,circuit,6,0000000001000011000000010,0,15,63,12,148767,362990,0,1434622,126848,573056,0,1922057
5,circuit,6,0000000001000011000000010,0,17,63,12,2541,196219,0,987107,35817,243350,0,1035653
