k,task,size_class,parent_iso_key,motif_position,part_idx,n_topo_in_size,n_topo_with_motif_in_size,presence_designs_top_01,presence_designs_top_05,presence_designs_top_10,presence_designs_top_25,presence_designs_bot_01,presence_designs_bot_05,presence_designs_bot_10,presence_designs_bot_25
5,toxicity,6,0000000001000011000000010,3,3,63,12,7152,66727,0,686816,65316,290558,0,1205131
5,toxicity,6,0000000001000011000000010,3,4,63,12,50312,262749,0,1232031,11983,103902,0,796122
5,toxicity,6,0000000001000011000000010,3,5,63,12,51469,271684,0,1234447,12881,105488,0,785997
5,toxicity,6,0000000001000011000000010,3,6,63,12,11654,87714,0,869007,196952,747512,0,2333543
5,toxicity,6,0000000001000011000000010,3,8,63,12,32202,231080,0,1635563,72283,369478,0,1776700
5,toxicity,6,0000000001000011000000010,3,9,63,12,16028,184569,0,1607292,52067,330677,0,1759419
5,toxicity,6,0000000001000011000000010,3,10,63,12,80360,342806,0,1360546,10715,88537,0,696223
5,toxicity,6,0000000001000011000000010,3,11,63,12,20908,156416,0,993947,23200,158836,0,964023
5,toxicity,6,0000000001000011000000010,3,12,63,12,6278,77767,0,760559,43329,237922,0,1143708
5,toxicity,6,0000000001000011000000010,3,13,63,12,32344,241771,0,1660793,62355,346258,0,1751482
5,toxicity,6,0000000001000011000000010,3,14,63,12,4629,42824,0,519824,173670,609093,0,1880691
5,toxicity,6,0000000001000011000000010,3,15,63,12,91454,453424,0,1929257,4252,71664,0,804838
5,toxicity,6,0000000001000011000000010,3,16,63,12,3045,38878,0,534840,58976,264704,0,1042787
5,toxicity,6,0000000001000011000000010,3,17,63,12,30579,188186,0,960577,12033,92246,0,680058
5,toxicity,6,0000000001000011000000010,3,18,63,12,6483,51515,0,534843,59143,263170,0,1042458
5,toxicity,6,0000000001000011000000010,3,19,63,12,62189,285457,0,1107857,8532,68834,0,583231
5,toxicity,6,0000000001000011000000010,4,0,63,12,40294,293437,0,1729166,76139,375960,0,1736821
5,toxicity,6,0000000001000011000000010,4,1,63,12,68619,374657,0,1954614,57776,322836,0,1624595
5,toxicity,6,0000000001000011000000010,4,2,63,12,94553,475210,0,2159532,33591,231006,0,1413134
5,toxicity,6,0000000001000011000000010,4,3,63,12,11140,116972,0,914445,34165,200922,0,1021196
5,toxicity,6,0000000001000011000000010,4,4,63,12,27299,172323,0,991204,39255,216355,0,1030029
5,toxicity,6,0000000001000011000000010,4,5,63,12,39530,231193,0,1120149,26893,168915,0,920570
5,toxicity,6,0000000001000011000000010,4,6,63,12,9521,99728,0,1315097,53639,355085,0,1903346
5,toxicity,6,0000000001000011000000010,4,7,63,12,679,6988,0,78680,135299,685459,0,3666633
5,toxicity,6,0000000001000011000000010,4,8,63,12,36394,249631,0,1685452,94899,435718,0,1834370
5,toxicity,6,0000000001000011000000010,4,9,63,12,4164,74056,0,1028963,223013,747481,0,2409614
5,toxicity,6,0000000001000011000000010,4,10,63,12,98475,375004,0,1330933,20560,129633,0,771880
5,toxicity,6,0000000001000011000000010,4,11,63,12,14789,116900,0,818463,64944,290916,0,1172862
5,toxicity,6,0000000001000011000000010,4,12,63,12,6981,89110,0,782004,55293,266175,0,1155796
5,toxicity,6,0000000001000011000000010,4,13,63,12,44532,302713,0,1772234,72454,371631,0,1735659
5,toxicity,6,0000000001000011000000010,4,14,63,12,4284,51666,0,820291,48962,302554,0,1531190
5,toxicity,6,0000000001000011000000010,4,15,63,12,111451,517904,0,1988705,2213,72820,0,787607
5,toxicity,6,0000000001000011000000010,4,16,63,12,5271,65892,0,654683,52828,247084,0,974999
5,toxicity,6,0000000001000011000000010,4,17,63,12,29865,191805,0,939085,18843,119022,0,721186
5,toxicity,6,0000000001000011000000010,4,18,63,12,7462,79145,0,700512,32007,178400,0,884087
5,toxicity,6,0000000001000011000000010,4,19,63,12,59680,276553,0,1059058,14395,96488,0,649508
5,toxicity,6,0000000001000011000000010,0,6,63,12,5932,64802,0,825410,172669,720073,0,2340753
5,toxicity,6,0000000001000011000000010,0,14,63,12,5191,44162,0,495327,170030,617939,0,1889721
5,toxicity,6,0000000001000011000000010,1,6,63,12,9319,64770,0,636978,212339,821842,0,2488040
