task,fp_key,depth_to_output,depth_from_input,in_degree,out_degree,predecessor_depth_signature,successor_depth_signature,node_type,part_idx,part_name,top_count,bot_count,log_odds,n_topologies,n_targets,total_designs
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,7,IcaRA/I1,428226,250008,0.7763957305086079,19,11,678234
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,8,LitR/L1,5033,384597,-6.255502233619831,19,11,389630
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,9,LmrA/N1,4066,363679,-6.4825607882430765,19,11,367745
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,10,PhlF/P1,1410,201078,-7.154900621235971,19,11,202488
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,11,PhlF/P2,279038,106441,1.3903992516545927,19,11,385479
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,12,PhlF/P3,270869,112342,1.2696903836241649,19,11,383211
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,13,PsrA/R1,437866,243624,0.8458305391867402,19,11,681490
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,14,QacR/Q1,291156,152273,0.9351276743640486,19,11,443429
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,15,QacR/Q2,279215,163192,0.7748024394320112,19,11,442407
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,16,SrpR/S1,3339,177425,-5.731225524688256,19,11,180764
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,17,SrpR/S2,183165,104567,0.8087103053069178,19,11,287732
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,18,SrpR/S3,182520,108171,0.7547353530128105,19,11,290691
